hidden_layers,activation_fn,epochs,learning_rate,batch_size,accuracy
[4],linear,250,0.1,32,0.7525520620661494
[4],linear,250,0.1,64,0.749897917517354
[4],linear,250,0.1,128,0.7478562678644345
[4],linear,250,0.1,256,0.7490812576561862
[4],linear,250,0.1,512,0.7507145773785219
[4],linear,250,0.01,16,0.7509187423438138
[4],linear,250,0.01,32,0.7509187423438138
[4],linear,250,0.01,64,0.750306247447938
[4],linear,250,0.01,128,0.7505104124132299
[4],linear,250,0.01,256,0.7515312372396896
[4],linear,250,0.01,512,0.7523478971008575
[4],linear,250,0.001,16,0.7517354022049816
[4],linear,250,0.001,32,0.7523478971008575
[4],linear,250,0.001,64,0.7494895875867701
[4],linear,250,0.001,128,0.750306247447938
[4],linear,250,0.001,256,0.6947733768885259
[4],linear,250,0.001,512,0.6915067374438546
[4],linear,250,0.0001,16,0.7288689260922826
[4],linear,250,0.0001,32,0.7106982441812985
[4],linear,250,0.0001,64,0.717435688035933
[4],linear,250,0.0001,128,0.6821151490404247
[4],linear,250,0.0001,256,0.5714577378521846
[4],linear,250,0.0001,512,0.6488362596978359
[4],sigmoid,1,10.0,16,0.4254797876684361
[4],sigmoid,1,10.0,32,0.6651694569211923
[4],sigmoid,1,10.0,64,0.6651694569211923
[4],sigmoid,1,10.0,128,0.6651694569211923
[4],sigmoid,1,10.0,256,0.662106982441813
[4],sigmoid,1,10.0,512,0.4407921600653328
[4],sigmoid,1,1.0,16,0.6282155982033483
[4],sigmoid,1,1.0,32,0.7394855042874643
[4],sigmoid,1,1.0,64,0.7356063699469171
[4],sigmoid,1,1.0,128,0.7033483054307881
[4],sigmoid,1,1.0,256,0.6780318497345855
[4],sigmoid,1,1.0,512,0.6755818701510821
[4],sigmoid,1,0.1,16,0.721927317272356
[4],sigmoid,1,0.1,32,0.6910984075132707
[4],sigmoid,1,0.1,64,0.6651694569211923
[4],sigmoid,1,0.1,128,0.6651694569211923
[4],sigmoid,1,0.1,256,0.6651694569211923
[4],sigmoid,1,0.1,512,0.6651694569211923
[4],sigmoid,1,0.01,16,0.6651694569211923
[4],sigmoid,1,0.01,32,0.6651694569211923
[4],sigmoid,1,0.01,64,0.6651694569211923
[4],sigmoid,1,0.01,128,0.5653327888934259
[4],sigmoid,1,0.01,256,0.6651694569211923
[4],sigmoid,1,0.01,512,0.6651694569211923
[4],sigmoid,1,0.001,16,0.33483054307880766
[4],sigmoid,1,0.001,32,0.33483054307880766
[4],sigmoid,1,0.001,64,0.5106165781951817
[4],sigmoid,1,0.001,128,0.6651694569211923
[4],sigmoid,1,0.001,256,0.33483054307880766
[4],sigmoid,1,0.001,512,0.6684360963658637
[4],sigmoid,1,0.0001,16,0.3319722335647203
[4],sigmoid,1,0.0001,32,0.3323805634953042
[4],sigmoid,1,0.0001,64,0.33483054307880766
[4],sigmoid,1,0.0001,128,0.33483054307880766
[4],sigmoid,1,0.0001,256,0.3350347080440996
[4],sigmoid,1,0.0001,512,0.33483054307880766
[4],sigmoid,10,10.0,16,0.4322172315230706
[4],sigmoid,10,10.0,32,0.6651694569211923
[4],sigmoid,10,10.0,64,0.7282564311964067
[4],sigmoid,10,10.0,128,0.5467537770518579
[4],sigmoid,10,10.0,256,0.4883625969783585
[4],sigmoid,10,10.0,512,0.6651694569211923
[4],sigmoid,10,1.0,16,0.7125357288689261
[4],sigmoid,10,1.0,32,0.6951817068191098
[4],sigmoid,10,1.0,64,0.7603103307472437
[4],sigmoid,10,1.0,128,0.7388730093915884
[4],sigmoid,10,1.0,256,0.7121273989383422
[4],sigmoid,10,1.0,512,0.7560228664761127
[4],sigmoid,10,0.1,16,0.7494895875867701
[4],sigmoid,10,0.1,32,0.7590853409554921
[4],sigmoid,10,0.1,64,0.7425479787668436
[4],sigmoid,10,0.1,128,0.736014699877501
[4],sigmoid,10,0.1,256,0.6857901184156798
[4],sigmoid,10,0.1,512,0.6670069416088199
[4],sigmoid,10,0.01,16,0.7292772560228665
[4],sigmoid,10,0.01,32,0.6668027766435279
[4],sigmoid,10,0.01,64,0.6672111065741119
[4],sigmoid,10,0.01,128,0.6651694569211923
[4],sigmoid,10,0.01,256,0.6651694569211923
[4],sigmoid,10,0.01,512,0.666598611678236
[4],sigmoid,10,0.001,16,0.6651694569211923
[4],sigmoid,10,0.001,32,0.6651694569211923
[4],sigmoid,10,0.001,64,0.4665169456921192
[4],sigmoid,10,0.001,128,0.33483054307880766
[4],sigmoid,10,0.001,256,0.3811759902000817
[4],sigmoid,10,0.001,512,0.33483054307880766
[4],sigmoid,10,0.0001,16,0.6649652919559004
[4],sigmoid,10,0.0001,32,0.6541445487954267
[4],sigmoid,10,0.0001,64,0.33483054307880766
[4],sigmoid,10,0.0001,128,0.6651694569211923
[4],sigmoid,10,0.0001,256,0.3350347080440996
[4],sigmoid,10,0.0001,512,0.33483054307880766
[4],sigmoid,25,10.0,16,0.4087382605144957
