hidden_layers,activation_fn,epochs,learning_rate,batch_size,mse
[4],sigmoid,1,0.1,16,0.018680263
[4],sigmoid,1,0.1,32,0.019012963
[4],sigmoid,1,0.1,64,0.018337643
[4],sigmoid,1,0.1,128,0.027719637
[4],sigmoid,1,0.1,256,0.023409251
[4],sigmoid,1,0.1,512,0.02573345
[4],sigmoid,1,0.01,16,0.019597372
[4],sigmoid,1,0.01,32,0.023875397
[4],sigmoid,1,0.01,64,0.02792999
[4],sigmoid,1,0.01,128,0.064985566
[4],sigmoid,1,0.01,256,0.11750902
[4],sigmoid,1,0.01,512,0.20348796
[4],sigmoid,1,0.001,16,0.15084085
[4],sigmoid,1,0.001,32,0.08009673
[4],sigmoid,1,0.001,64,0.6015991
[4],sigmoid,1,0.001,128,0.055831406
[4],sigmoid,1,0.001,256,0.21226026
[4],sigmoid,1,0.001,512,0.09143696
[4],sigmoid,1,0.0001,16,0.3059492
[4],sigmoid,1,0.0001,32,0.23310505
[4],sigmoid,1,0.0001,64,0.9423499
[4],sigmoid,1,0.0001,128,0.11030668
[4],sigmoid,1,0.0001,256,0.061689015
[4],sigmoid,1,0.0001,512,0.1969836
[4],sigmoid,10,10.0,16,
[4],sigmoid,10,10.0,32,
[4],sigmoid,10,10.0,64,
[4],sigmoid,10,10.0,128,
[4],sigmoid,10,10.0,256,
[4],sigmoid,10,10.0,512,
[4],sigmoid,10,1.0,16,
[4],sigmoid,10,1.0,32,92.91613
[4],sigmoid,10,1.0,64,85.87357
[4],sigmoid,10,1.0,128,57.577244
[4],sigmoid,10,1.0,256,55.030636
[4],sigmoid,10,1.0,512,79.58196
[4],sigmoid,10,0.1,16,0.01631324
[4],sigmoid,10,0.1,32,0.016067214
[4],sigmoid,10,0.1,64,0.016024806
[4],sigmoid,10,0.1,128,0.018386006
[4],sigmoid,10,0.1,256,0.019717926
[4],sigmoid,10,0.1,512,0.02033763
[4],sigmoid,10,0.01,16,0.018121429
[4],sigmoid,10,0.01,32,0.019919572
[4],sigmoid,10,0.01,64,0.022273429
[4],sigmoid,10,0.01,128,0.019150916
[4],sigmoid,10,0.01,256,0.022399932
[4],sigmoid,10,0.01,512,0.038810816
[4],sigmoid,10,0.001,16,0.022120459
[4],sigmoid,10,0.001,32,0.025905536
[4],sigmoid,10,0.001,64,0.020035595
[4],sigmoid,10,0.001,128,0.06687154
[4],sigmoid,10,0.001,256,0.08721107
[4],sigmoid,10,0.001,512,0.49491012
[4],sigmoid,10,0.0001,16,0.023561925
[4],sigmoid,10,0.0001,32,0.066175945
[4],sigmoid,10,0.0001,64,0.9601888
[4],sigmoid,10,0.0001,128,0.04881846
[4],sigmoid,10,0.0001,256,1.0591567
[4],sigmoid,10,0.0001,512,0.16488628
[4],sigmoid,25,10.0,16,
[4],sigmoid,25,10.0,32,
[4],sigmoid,25,10.0,64,
[4],sigmoid,25,10.0,128,
[4],sigmoid,25,10.0,256,
[4],sigmoid,25,10.0,512,
[4],sigmoid,25,1.0,16,
[4],sigmoid,25,1.0,32,
[4],sigmoid,25,1.0,64,337.09903
[4],sigmoid,25,1.0,128,54.323166
[4],sigmoid,25,1.0,256,85.5917
[4],sigmoid,25,1.0,512,149.16962
[4],sigmoid,25,0.1,16,0.015838638
[4],sigmoid,25,0.1,32,0.017364224
[4],sigmoid,25,0.1,64,0.015705107
[4],sigmoid,25,0.1,128,0.015744606
[4],sigmoid,25,0.1,256,0.018515032
[4],sigmoid,25,0.1,512,0.018021429
[4],sigmoid,25,0.01,16,0.01651269
[4],sigmoid,25,0.01,32,0.01615043
[4],sigmoid,25,0.01,64,0.017830266
[4],sigmoid,25,0.01,128,0.021623153
[4],sigmoid,25,0.01,256,0.018799495
[4],sigmoid,25,0.01,512,0.024291016
[4],sigmoid,25,0.001,16,0.022618687
[4],sigmoid,25,0.001,32,0.020591337
[4],sigmoid,25,0.001,64,0.020487659
[4],sigmoid,25,0.001,128,0.018142788
[4],sigmoid,25,0.001,256,0.05320273
[4],sigmoid,25,0.001,512,0.07174605
[4],sigmoid,25,0.0001,16,0.025033908
[4],sigmoid,25,0.0001,32,0.023526523
[4],sigmoid,25,0.0001,64,0.16849439
[4],sigmoid,25,0.0001,128,0.45116282
[4],sigmoid,25,0.0001,256,0.17313114
[4],sigmoid,25,0.0001,512,0.039818298
[4],sigmoid,50,10.0,16,
[4],sigmoid,50,10.0,32,
[4],sigmoid,50,10.0,64,
[4],sigmoid,50,10.0,128,
[4],sigmoid,50,10.0,256,
[4],sigmoid,50,10.0,512,
[4],sigmoid,50,1.0,16,
[4],sigmoid,50,1.0,32,
[4],sigmoid,50,1.0,64,125.872574
[4],sigmoid,50,1.0,128,162184.86
[4],sigmoid,50,1.0,256,513.6373
[4],sigmoid,50,1.0,512,439.4357
[4],sigmoid,50,0.1,16,0.015320195
[4],sigmoid,50,0.1,32,0.01759926
[4],sigmoid,50,0.1,64,0.015642567
[4],sigmoid,50,0.1,128,0.015762514
[4],sigmoid,50,0.1,256,0.015745632
[4],sigmoid,50,0.1,512,0.016164666
[4],sigmoid,50,0.01,16,0.015654236
[4],sigmoid,50,0.01,32,0.017234413
[4],sigmoid,50,0.01,64,0.018696431
[4],sigmoid,50,0.01,128,0.018476468
[4],sigmoid,50,0.01,256,0.02201148
[4],sigmoid,50,0.01,512,0.019611022
[4],sigmoid,50,0.001,16,0.017528782
[4],sigmoid,50,0.001,32,0.022398874
[4],sigmoid,50,0.001,64,0.023689134
[4],sigmoid,50,0.001,128,0.021787178
[4],sigmoid,50,0.001,256,0.026176624
[4],sigmoid,50,0.001,512,0.019743808
[4],sigmoid,50,0.0001,16,0.027899927
[4],sigmoid,50,0.0001,32,0.025917115
[4],sigmoid,50,0.0001,64,0.028241104
[4],sigmoid,50,0.0001,128,0.041605204
[4],sigmoid,50,0.0001,256,0.39872164
[4],sigmoid,50,0.0001,512,0.037633575
[4],sigmoid,100,10.0,16,
[4],sigmoid,100,10.0,32,
[4],sigmoid,100,10.0,64,
[4],sigmoid,100,10.0,128,
[4],sigmoid,100,10.0,256,
[4],sigmoid,100,10.0,512,
[4],sigmoid,100,1.0,16,
[4],sigmoid,100,1.0,32,28.659605
[4],sigmoid,100,1.0,64,
[4],sigmoid,100,1.0,128,66.82001
[4],sigmoid,100,1.0,256,103.108604
[4],sigmoid,100,1.0,512,87.889435
[4],sigmoid,100,0.1,16,0.014519548
[4],sigmoid,100,0.1,32,0.015490552
[4],sigmoid,100,0.1,64,0.015536155
[4],sigmoid,100,0.1,128,0.016126046
[4],sigmoid,100,0.1,256,0.01607991
[4],sigmoid,100,0.1,512,0.015784068
[4],sigmoid,100,0.01,16,0.015580743
[4],sigmoid,100,0.01,32,0.015646981
[4],sigmoid,100,0.01,64,0.016488563
[4],sigmoid,100,0.01,128,0.01700764
[4],sigmoid,100,0.01,256,0.019061409
[4],sigmoid,100,0.01,512,0.019460704
[4],sigmoid,100,0.001,16,0.016641596
[4],sigmoid,100,0.001,32,0.020100823
[4],sigmoid,100,0.001,64,0.02174275
[4],sigmoid,100,0.001,128,0.021792665
[4],sigmoid,100,0.001,256,0.019233838
[4],sigmoid,100,0.001,512,0.023136906
[4],sigmoid,100,0.0001,16,0.02446901
[4],sigmoid,100,0.0001,32,0.024760693
[4],sigmoid,100,0.0001,64,0.024383083
[4],sigmoid,100,0.0001,128,0.058763847
[4],sigmoid,100,0.0001,256,0.14400835
[4],sigmoid,100,0.0001,512,0.18949944
[4],sigmoid,250,10.0,16,
[4],sigmoid,250,10.0,32,
[4],sigmoid,250,10.0,64,
[4],sigmoid,250,10.0,128,
[4],sigmoid,250,10.0,256,
[4],sigmoid,250,10.0,512,
[4],sigmoid,250,1.0,16,
[4],sigmoid,250,1.0,32,
[4],sigmoid,250,1.0,64,445.8863
[4],sigmoid,250,1.0,128,26.463367
[4],sigmoid,250,1.0,256,35.2238
[4],sigmoid,250,1.0,512,83.35371
[4],sigmoid,250,0.1,16,0.016805515
[4],sigmoid,250,0.1,32,0.01819358
[4],sigmoid,250,0.1,64,0.01452952
[4],sigmoid,250,0.1,128,0.01559489
[4],sigmoid,250,0.1,256,0.01585378
[4],sigmoid,250,0.1,512,0.015595238
[4],sigmoid,250,0.01,16,0.015422179
